schoolID,rms,win,openWin,opSpFan,pOpSpFan,nOpSpFan,opExFan,pOpExFan,nOpExFan,opVent,pOpVent,nOpVent
M506,126,71,70,106,3,1,58,40,28,1,0,0
Q633,60,35,33,31,6,17,23,2,30,0,0,0
K175,98,77,76,22,1,17,22,2,9,2,0,39
X086,117,111,111,1,0,0,56,0,13,47,0,0
R445,195,184,180,103,7,81,56,6,113,50,0,2
X423,140,90,82,15,13,73,26,6,101,0,0,0
X023,95,56,50,9,39,18,0,0,31,0,0,0
K005,102,77,71,3,1,1,75,5,8,0,0,5
K246,161,134,133,52,0,9,65,1,27,0,0,13
X114,78,69,69,23,1,11,12,0,39,0,0,0
Q188,64,52,52,4,0,2,43,0,0,0,0,0
X234,91,49,49,4,0,3,17,1,37,11,0,1
M136,100,102,102,0,0,2,13,0,81,0,0,1
K031,84,81,81,0,0,0,6,0,3,0,0,0
K249,86,78,78,4,0,0,62,4,6,0,0,0
Q045,55,53,53,2,0,2,27,0,12,23,0,0
X132,89,77,76,8,0,0,44,8,6,0,0,0
K971,64,24,24,29,1,12,27,17,13,0,0,0
K233,112,108,105,29,0,0,67,1,15,47,4,6
Q686,298,125,120,221,0,0,298,0,0,0,0,0
Q215,78,62,61,2,1,1,57,0,5,4,1,0
Q480,162,163,160,8,0,20,8,0,98,1,0,91
X819,47,48,48,2,0,0,3,0,0,2,0,0
X020,103,93,93,77,0,25,76,0,27,0,0,0
X057,81,82,80,39,7,13,50,1,10,0,0,0
X030,87,87,87,12,0,4,56,0,1,3,0,0
K907,73,18,18,55,0,14,42,0,27,0,0,0
Q273,64,27,27,32,0,5,9,0,18,0,0,0
M916,45,36,32,4,0,0,6,0,8,0,0,0
Q059,117,104,101,6,0,1,79,6,12,2,0,0
X151,174,145,145,5,0,11,23,0,124,2,1,0
Q117,110,94,91,20,0,10,41,0,26,27,1,17
M008,101,53,50,55,0,15,43,0,25,0,0,0
X027,71,73,73,0,0,0,0,0,1,0,0,0
M641,85,80,80,0,0,0,65,1,0,63,4,4
Q076,103,83,83,9,0,51,30,6,47,0,0,0
K215,84,79,76,0,0,2,40,0,18,38,0,7
K166,101,95,95,5,0,92,60,0,38,0,0,0
R001,47,38,38,2,0,0,43,0,0,0,0,0
Q263,113,58,53,72,4,21,69,7,50,0,0,0
K279,111,92,91,23,0,0,89,8,7,0,0,0
K014,118,107,107,74,0,7,99,0,2,0,0,0
X097,37,37,37,2,0,0,18,0,9,14,0,9
X843,75,75,75,0,0,0,0,0,0,49,0,0
Q680,58,37,34,27,6,21,35,2,16,17,10,10
K262,77,74,74,7,1,0,60,0,0,0,0,0
Q314,135,76,68,85,0,7,77,0,53,0,0,0
K465,207,212,211,41,0,61,14,0,72,22,1,12
K205,117,112,107,65,1,15,62,1,18,0,0,1
Q002,66,59,57,18,0,0,38,0,0,5,0,9
R004,187,114,114,34,0,0,101,0,59,11,0,0
K024,112,72,72,20,0,2,103,2,0,46,1,2
X141,136,106,106,101,0,0,94,10,15,0,0,0
Q287,65,43,40,45,0,15,8,0,59,24,0,0
K807,97,50,48,44,0,34,30,17,39,0,0,0
K163,57,54,54,1,0,0,5,0,2,0,0,0
K371,64,43,43,3,0,0,45,3,0,0,0,0
Q091,112,92,84,22,0,52,27,8,44,0,0,0
X884,132,46,45,121,0,0,113,0,9,0,0,0
K251,43,42,42,2,1,0,30,2,4,0,0,0
K100,82,79,79,2,0,50,42,0,19,0,0,0
K610,103,112,112,6,0,0,56,0,6,24,4,26
Q031,55,49,48,31,0,0,37,0,0,0,0,0
X115,115,102,99,0,0,35,1,0,67,0,0,0
X317,60,35,31,46,0,0,56,0,0,0,0,0
K346,155,129,129,13,0,3,83,0,57,13,0,1
X181,135,81,81,127,0,8,105,0,28,0,0,0
X475,284,242,241,44,1,14,104,0,70,185,23,4
X876,52,9,9,43,0,7,23,0,18,0,0,0
